Fiscal Year,Eff. Date,Job Code,Title,Union Code,SetID,Grade,Biweekly Min,Biweekly Max,Extended Range,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12,Step 13,Step 14,Step 15,Step 16,Step 17,Step 18,Step 19,Step 20
FY14-15,7/1/2014,1246,Principal Personnel Analyst,22,COMMN,1246C,3862,4695,6,48.275,50.7,53.225,55.8875,58.6875,60.125,61.6125,63.1375,,,,,,,,,,,,
FY14-15,7/1/2014,6110,Environmental Hlth Tech 2,790,COMMN,6790,2507,3047,,31.3375,32.9,34.55,36.275,38.0875,,,,,,,,,,,,,,,
FY14-15,10/11/2014,2830,Public Health Nurse,791,COMMN,2830D,4338,5699,,54.225,55.95,57.6875,59.3375,61.1875,63.075,65.0125,67.05,69.1375,71.2375,,,,,,,,,,
FY15-16,7/1/2015,5203,Asst Engr,21,SFMTA,7265,3162,3844,,39.525,41.5,43.575,45.7625,48.05,,,,,,,,,,,,,,,
FY15-16,10/10/2015,1684,Auditor II,21,SFMTA,7390,3359,4082,,41.9875,44.0875,46.2875,48.6,51.025,,,,,,,,,,,,,,,
FY13-14,1/4/2014,5177,Safety Officer,21,SFMTA,5177A (SFMTA),3957,4810,,49.4625,51.9375,54.525,57.2625,60.125,61.6125,63.1375,64.7,,,,,,,,,,,,
FY13-14,7/1/2013,5266,Architectural Associate 2,21,SFMTA,7475,3503,4258,,43.7875,45.9875,48.275,50.7,53.225,,,,,,,,,,,,,,,
FY13-14,7/1/2013,8132,DA Investigative Assist,21,COMMN,8132Y,2199,2806,0,27.4875,28.8625,30.3,31.8125,33.4,35.075,,,,,,,,,,,,,,
FY13-14,3/29/2014,7257,Communication Line Sprv1,6,SFMTA,7290,3199,3888,,39.9875,41.9875,44.0875,46.3,48.6,,,,,,,,,,,,,,,
FY14-15,7/1/2014,1241,Personnel Analyst,22,SFMTA,1241C,2303,3389,,28.7875,30.175,31.675,33.2,34.8375,36.6,38.45,40.35,42.3625,,,,,,,,,,,
FY13-14,1/4/2014,2595,Sr Employee Asst Counselor,21,SFMTA,2595A (SFMTA),2946,3581,,36.825,38.6625,40.6,42.625,44.7625,45.85,47,48.1375,,,,,,,,,,,,
FY14-15,7/1/2014,1476,Senior Claims Process Clerk,790,COMMN,6500,2178,2647,,27.225,28.5875,30.0125,31.5125,33.0875,,,,,,,,,,,,,,,
FY12-13,7/1/2012,1474,Claims Process Clerk,790,SFMTA,6215,1895,2303,,23.6875,24.875,26.1125,27.425,28.7875,,,,,,,,,,,,,,,
FY14-15,7/1/2014,1051,IS Business Analyst-Assistant,21,COMMN,1051C,2469,3106,,30.8625,31.6625,32.4125,33.5375,34.3875,35.2375,36.1125,36.975,37.9125,38.825,,,,,,,,,,
FY15-16,7/1/2015,9922,PS Aide to Prof,790,SFMTA,9922G,1580,1580,,19.75,,,,,,,,,,,,,,,,,,,
FY14-15,10/11/2014,8510,Sheriff's Lieutenant (SFERS),499,COMMN,8510D,4089,5216,,51.1125,53.6625,56.3625,59.1875,62.125,65.2,,,,,,,,,,,,,,
FY13-14,1/4/2014,2551,Mental Hlth Treatment Spec,21,SFMTA,7090,2902,3527,,36.275,38.0875,39.9875,41.9875,44.0875,,,,,,,,,,,,,,,
FY14-15,7/1/2014,2314,Public Health Team Leader,790,COMMN,6725,2430,2953,,30.375,31.8875,33.4875,35.1625,36.9125,,,,,,,,,,,,,,,
FY14-15,7/1/2014,3378,Field Svcs Asst Supv,790,COMMN,6270,1946,2365,,24.325,25.5375,26.8125,28.15,29.5625,,,,,,,,,,,,,,,
FY14-15,10/11/2014,1377,Special Assistant 18,351,COMMN,8345,5357,6510,,66.9625,70.3,73.8125,77.5125,81.375,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8124,Invstgtor Ofc Citizen Cmplnts,790,SFMTA,7180,3035,3689,,37.9375,39.8375,41.825,43.9125,46.1125,,,,,,,,,,,,,,,
FY14-15,10/11/2014,2486,Chemist,21,COMMN,2486D,2666,3752,,33.325,35,36.75,38.5875,40.5125,42.5375,44.675,46.9,,,,,,,,,,,,
FY14-15,7/1/2014,1422,Junior Clerk Typist,790,COMMN,5830,1573,1909,,19.6625,20.625,21.6375,22.725,23.8625,,,,,,,,,,,,,,,
FY13-14,1/4/2014,9772,Community Development Spec,790,SFMTA,6790,2507,3047,,31.3375,32.9,34.55,36.275,38.0875,,,,,,,,,,,,,,,
FY13-14,1/4/2014,9924,PS Aide Health Services,790,COMMN,9924A,1405,1405,0,17.5625,,,,,,,,,,,,,,,,,,,
FY13-14,3/29/2014,8568,"Sr Cnselor, Juv Hall (SFERS)",856,COMMN,6935,2693,3273,0,33.6625,35.3375,37.1125,38.9625,40.9125,,,,,,,,,,,,,,,
FY15-16,7/1/2015,5201,Junior Engineer,21,SFMTA,7015,2800,3403,,35,36.75,38.5875,40.5125,42.5375,,,,,,,,,,,,,,,
FY14-15,10/11/2014,7371,Electrical Transit System Mech,6,SFMTA-Negotiated,6910,2660,3234,,33.25,34.9125,36.6625,38.5,40.425,,,,,,,,,,,,,,,
FY14-15,10/11/2014,7248,Steamfitter Supervisor 2,38,SFMTA,7710,3931,4779,,49.1375,51.6,54.175,56.8875,59.7375,,,,,,,,,,,,,,,
FY13-14,1/4/2014,2992,Contract Compliance Officer 1,21,SFMTA,7155,2997,3643,,37.4625,39.3375,41.3,43.375,45.5375,,,,,,,,,,,,,,,
FY13-14,3/29/2014,7318,Electronic Maintenance Tech,6,COMMN,7350,3295,4006,0,41.1875,43.25,45.4125,47.6875,50.075,,,,,,,,,,,,,,,
FY15-16,7/1/2015,8142,Public Defender's Investigator,790,SFMTA,7115,2940,3574,,36.75,38.5875,40.5125,42.5375,44.675,,,,,,,,,,,,,,,
FY15-16,10/10/2015,2593,Health Program Coordinator 3,21,SFMTA,2593H,3295,4006,6,41.1875,43.25,45.4125,47.6875,50.075,51.325,52.575,53.8875,,,,,,,,,,,,
FY15-16,10/10/2015,1956,Senior Purchaser,21,SFMTA,7410,3396,4128,,42.45,44.575,46.8,49.1375,51.6,,,,,,,,,,,,,,,
FY14-15,7/1/2014,3486,Watershed Forester,351,SFMTA,7260,3155,3836,,39.4375,41.4125,43.4875,45.6625,47.95,,,,,,,,,,,,,,,
FY13-14,1/4/2014,1429,Nurses Staffing Assistant,250,SFMTA,6140,1827,2221,,22.8375,23.975,25.175,26.4375,27.7625,,,,,,,,,,,,,,,
FY14-15,7/1/2014,2920,Medical Social Worker,790,COMMN,7050,2847,3460,,35.5875,37.3625,39.225,41.1875,43.25,,,,,,,,,,,,,,,
FY13-14,7/1/2013,1071,IS Manager,351,COMMN,1071Y,4348,6192,0,54.35,57.05,59.9125,62.9125,66.05,69.375,72.825,76.5,77.4,,,,,,,,,,,
FY12-13,7/1/2012,1471,Elections Worker,790,SFMTA,6175,1858,2258,,23.225,24.3875,25.6,26.8875,28.225,,,,,,,,,,,,,,,
FY13-14,7/1/2013,5302,Traffic Survey Technician,21,SFMTA,6535,2215,2693,,27.6875,29.075,30.525,32.05,33.6625,,,,,,,,,,,,,,,
FY14-15,7/1/2014,3280,Assistant Recreation Director,790,COMMN,6065,1761,2140,,22.0125,23.1125,24.2625,25.475,26.75,,,,,,,,,,,,,,,
FY13-14,7/1/2013,6124,Pr Environmental Hlth Insp,251,SFMTA,7600,3724,4527,,46.55,48.875,51.325,53.8875,56.5875,,,,,,,,,,,,,,,
FY14-15,7/1/2014,1435,Shelter Officer Supervisor,790,SFMTA,6310,1985,2412,,24.8125,26.05,27.35,28.7125,30.15,,,,,,,,,,,,,,,
FY14-15,10/11/2014,2920,Medical Social Worker,790,COMMN,7110,2933,3566,,36.6625,38.5,40.425,42.45,44.575,,,,,,,,,,,,,,,
FY13-14,1/4/2014,8202,Security Guard,790,COMMN,8202A,1573,1909,6,19.6625,20.625,21.6375,22.725,23.8625,23.8625,23.8625,25.05,26.3,27.6125,28.9875,,,,,,,,,
FY13-14,7/1/2013,7333,Apprentice Stationary Engineer,39,SFMTA,7333Y (SFMTA),1899,2776,,23.7375,25.5625,27.4,29.225,31.05,32.875,34.7,,,,,,,,,,,,,
FY13-14,1/4/2014,3371,Animal Care Supervisor,790,COMMN,6320,1994,2424,0,24.925,26.175,27.4875,28.8625,30.3,,,,,,,,,,,,,,,
FY15-16,10/10/2015,1224,Pr Payroll & Personnel Clerk,790,SFMTA,6955,2719,3304,,33.9875,35.6875,37.4625,39.3375,41.3,,,,,,,,,,,,,,,
FY15-16,7/1/2015,2565,Acupuncturist,790,SFMTA,6730,2435,2960,,30.4375,31.9625,33.5625,35.2375,37,,,,,,,,,,,,,,,
FY13-14,1/4/2014,2554,Therapy Aide,250,COMMN,6630,2319,2819,0,28.9875,30.4375,31.9625,33.5625,35.2375,,,,,,,,,,,,,,,
FY13-14,3/29/2014,1093,IT Operations Support Admn III,21,COMMN,6925,2679,3256,0,33.4875,35.1625,36.9125,38.7625,40.7,,,,,,,,,,,,,,,
FY15-16,7/1/2015,1226,Chf Payroll & Personnel Clerk,790,SFMTA,7000,2779,3378,,34.7375,36.475,38.3,40.2125,42.225,,,,,,,,,,,,,,,
FY13-14,7/1/2013,5130,Sewage Treatment Plant Supt,21,SFMTA,5130Y (SFMTA),4117,5005,,51.4625,54.1,56.7375,59.575,62.5625,64.075,65.6875,67.2875,,,,,,,,,,,,
FY13-14,3/29/2014,1774,Head Photographer,790,SFMTA,6710,2412,2933,,30.15,31.6625,33.25,34.9125,36.6625,,,,,,,,,,,,,,,
FY13-14,3/29/2014,1161,"Ex Asst to Admin, SFGH",351,SFMTA,7620,3760,4570,,47,49.35,51.8125,54.4,57.125,,,,,,,,,,,,,,,
FY14-15,10/11/2014,1934,Storekeeper,790,COMMN,6180,1862,2264,,23.275,24.4375,25.6625,26.95,28.3,,,,,,,,,,,,,,,
FY14-15,7/1/2014,1013,IS Technician-Senior,21,COMMN,6815,2539,3087,,31.7375,33.325,35,36.75,38.5875,,,,,,,,,,,,,,,
FY13-14,3/29/2014,7303,Barber,250,COMMN,6350,2023,2459,0,25.2875,26.55,27.875,29.275,30.7375,,,,,,,,,,,,,,,
FY13-14,1/4/2014,8308,Sheriff's Sergeant,499,COMMN,8308A,3377,4312,0,42.2125,44.3625,46.5625,48.9,51.325,53.9,,,,,,,,,,,,,,
FY12-13,7/1/2012,7334,Stationary Engineer,39,SFMTA,7334W,2893,2893,,36.1625,,,,,,,,,,,,,,,,,,,
FY13-14,3/29/2014,6122,Sr Environmental Hlth Insp,251,COMMN,7490,3527,4286,0,44.0875,46.3,48.6,51.025,53.575,,,,,,,,,,,,,,,
FY15-16,7/1/2015,1053,IS Business Analyst-Senior,21,SFMTA,1053G,3409,4289,,42.6125,43.7,44.75,46.3125,47.45,48.625,49.825,51.05,52.325,53.6125,,,,,,,,,,
FY12-13,7/1/2012,1402,Junior Clerk,790,SFMTA,5700,1477,1791,,18.4625,19.375,20.325,21.325,22.3875,,,,,,,,,,,,,,,
FY15-16,7/1/2015,1429,Nurses Staffing Assistant,250,SFMTA,6220,1899,2309,,23.7375,24.925,26.175,27.4875,28.8625,,,,,,,,,,,,,,,
FY13-14,7/1/2013,7257,Communication Line Sprv1,6,SFMTA,7250,3138,3815,,39.225,41.1875,43.25,45.4125,47.6875,,,,,,,,,,,,,,,
FY13-14,1/4/2014,1781,Media/Security Syst Supv,16,COMMN,7360,3313,4028,0,41.4125,43.4875,45.6625,47.95,50.35,,,,,,,,,,,,,,,
FY13-14,3/29/2014,7268,Window Cleaner Supervisor,790,COMMN,6700,2401,2918,0,30.0125,31.5125,33.0875,34.7375,36.475,,,,,,,,,,,,,,,
FY14-15,7/1/2014,8414,"Sprv Prob Ofc, Juv Court",965,COMMN,7410,3396,4128,,42.45,44.575,46.8,49.1375,51.6,,,,,,,,,,,,,,,
FY14-15,7/1/2014,2416,Laboratory Technician II,250,COMMN,6345,2019,2454,,25.2375,26.5,27.825,29.2125,30.675,,,,,,,,,,,,,,,
FY13-14,7/1/2013,6249,Senior Electrical Inpsector,6,COMMN,7600,3724,4527,0,46.55,48.875,51.325,53.8875,56.5875,,,,,,,,,,,,,,,
FY14-15,10/11/2014,2904,Human Services Technician,535,SFMTA,6385,2058,2502,,25.725,27.0125,28.3625,29.7875,31.275,,,,,,,,,,,,,,,
FY13-14,1/4/2014,1406,Senior Clerk,790,COMMN,1406A,1698,2063,6,21.225,22.275,23.3875,24.5625,25.7875,25.8625,28.3625,27.0125,31.275,30.15,,,,,,,,,,
FY13-14,1/4/2014,7285,Transmission Line Wrk Sprv 2,6,SFMTA,7775,4056,4929,,50.7,53.225,55.8875,58.6875,61.6125,,,,,,,,,,,,,,,
FY15-16,10/10/2015,8238,Public SafetyComm Disp,790,SFMTA,7185,3041,3696,,38.0125,39.9125,41.9125,44,46.2,,,,,,,,,,,,,,,
FY13-14,7/1/2013,2820,Senior Health Program Planner,790,SFMTA,7250,3138,3815,,39.225,41.1875,43.25,45.4125,47.6875,,,,,,,,,,,,,,,
FY14-15,7/1/2014,7343,"Sr Statnry Eng, Wtr Treat Plnt",39,SFMTA,7343C,3720,3720,,46.5,,,,,,,,,,,,,,,,,,,
FY15-16,10/10/2015,2708,Custodian,790,SFMTA,6150,1835,2230,,22.9375,24.0875,25.2875,26.55,27.875,,,,,,,,,,,,,,,
FY13-14,3/29/2014,1771,Media Production Specialist,790,SFMTA,6550,2230,2711,,27.875,29.275,30.7375,32.275,33.8875,,,,,,,,,,,,,,,
FY14-15,7/1/2014,4220,Personal Property Auditor,21,COMMN,6905,2654,3226,,33.175,34.825,36.575,38.4,40.325,,,,,,,,,,,,,,,
FY13-14,7/1/2013,1406,Senior Clerk,790,SFMTA,1406Y (SFMTA),1666,2023,,20.825,21.85,22.9375,24.0875,25.2875,25.35,27.825,26.5,30.675,29.5625,,,,,,,,,,
FY13-14,1/4/2014,7428,Hodcarrier,36,COMMN,6640,2332,2835,0,29.15,30.6125,32.1375,33.75,35.4375,,,,,,,,,,,,,,,
FY13-14,3/29/2014,7306,Automotive Body & Fender Wrk,130,SFMTA,7306B (SFMTA),3012,3012,,37.65,,,,,,,,,,,,,,,,,,,
FY14-15,7/1/2014,Q082,Captain 3,911,COMMN,Q82C0,7660,7660,,95.75,,,,,,,,,,,,,,,,,,,
FY13-14,3/29/2014,5271,Sr Airport Noise Abatement Spe,790,COMMN,6960,2726,3313,0,34.075,35.775,37.5625,39.4375,41.4125,,,,,,,,,,,,,,,
FY14-15,10/11/2014,6334,Chief Building Inspector,929,SFMTA,7900,4311,5241,,53.8875,56.5875,59.4125,62.3875,65.5125,,,,,,,,,,,,,,,
FY13-14,7/1/2013,3486,Watershed Forester,351,COMMN,7220,3093,3760,0,38.6625,40.6,42.625,44.7625,47,,,,,,,,,,,,,,,
FY14-15,10/11/2014,1246,Principal Personnel Analyst,22,SFMTA,1246D,3978,4835,6,49.725,52.2,54.8125,57.55,60.4375,61.9,63.45,65,,,,,,,,,,,,
FY13-14,3/29/2014,7245,"Chf Statnry Eng,WtrTreat Plnt",39,COMMN,7245B,4168,4168,0,52.1,,,,,,,,,,,,,,,,,,,
FY14-15,10/11/2014,7353,Water Meter Repairer,38,COMMN,6710,2412,2933,,30.15,31.6625,33.25,34.9125,36.6625,,,,,,,,,,,,,,,
FY14-15,10/11/2014,2515,Orthopedic Technician 2,250,COMMN,6540,2221,2700,,27.7625,29.15,30.6125,32.1375,33.75,,,,,,,,,,,,,,,
FY13-14,3/29/2014,4215,ASR Senior Office Specialist,790,COMMN,4215B,2178,2779,0,27.225,28.5875,30.0125,31.5125,33.0875,34.7375,,,,,,,,,,,,,,
FY14-15,7/1/2014,8434,Sprv Adult Probation Ofc,965,COMMN,7410,3396,4128,,42.45,44.575,46.8,49.1375,51.6,,,,,,,,,,,,,,,
FY13-14,3/29/2014,1437,Shelter Office Asst Supv,790,COMMN,6190,1871,2274,0,23.3875,24.5625,25.7875,27.075,28.425,,,,,,,,,,,,,,,
FY13-14,3/29/2014,1227,Testing Technician,790,SFMTA,6180,1862,2264,,23.275,24.4375,25.6625,26.95,28.3,,,,,,,,,,,,,,,
FY13-14,3/29/2014,9920,Publ Svc Aide-Asst to Prof,790,SFMTA,9920B (SFMTA),1402,1402,,17.525,,,,,,,,,,,,,,,,,,,
FY14-15,10/11/2014,8142,Public Defender's Investigator,790,COMMN,7115,2940,3574,,36.75,38.5875,40.5125,42.5375,44.675,,,,,,,,,,,,,,,
FY13-14,1/4/2014,7307,Bricklayer,7,COMMN,7070,2874,3493,0,35.925,37.725,39.6125,41.5875,43.6625,,,,,,,,,,,,,,,
FY14-15,7/1/2014,1379,Special Assistant 20,351,SFMTA,8545,5905,7178,,73.8125,77.5125,81.375,85.45,89.725,,,,,,,,,,,,,,,
FY13-14,1/4/2014,9145,Traffic Signal Electrician,6,SFMTA,9145A (SFMTA),3892,3892,0,48.65,,,,,,,,,,,,,,,,,,,
FY13-14,3/29/2014,7454,Traffic Signal Operator,790,SFMTA,5640,1436,1740,0,17.95,18.825,19.75,20.725,21.75,,,,,,,,,,,,,,,
FY13-14,7/1/2013,5312,Survey Assistant II,21,COMMN,6815,2539,3087,0,31.7375,33.325,35,36.75,38.5875,,,,,,,,,,,,,,,
FY13-14,1/4/2014,7255,Power House Electrician Sprv 1,6,SFMTA,7270,3169,3851,,39.6125,41.5875,43.6625,45.85,48.1375,,,,,,,,,,,,,,,
FY14-15,10/11/2014,7211,Cement Finisher Supervisor 2,790,COMMN,7440,3446,4188,,43.075,45.225,47.4875,49.8625,52.35,,,,,,,,,,,,,,,
FY15-16,10/10/2015,3554,Associate Museum Registrar,790,SFMTA,6245,1923,2337,,24.0375,25.2375,26.5,27.825,29.2125,,,,,,,,,,,,,,,
FY13-14,1/4/2014,1934,Storekeeper,790,SFMTA,6100,1791,2178,,22.3875,23.5125,24.6875,25.925,27.225,,,,,,,,,,,,,,,
FY15-16,7/1/2015,7244,Power Plant Supervisor 1,6,SFMTA,7110,2933,3566,,36.6625,38.5,40.425,42.45,44.575,,,,,,,,,,,,,,,
FY14-15,7/1/2014,1314,Public Relations Officer,21,COMMN,7115,2940,3574,,36.75,38.5875,40.5125,42.5375,44.675,,,,,,,,,,,,,,,
FY14-15,10/11/2014,7372,"Stationary Eng, Sewage Plant",39,COMMN,7372D,3583,3583,,44.7875,,,,,,,,,,,,,,,,,,,
FY13-14,7/1/2013,2978,Contract Compliance Officer 2,21,COMMN,7690,3888,4725,0,48.6,51.025,53.575,56.25,59.0625,,,,,,,,,,,,,,,
FY14-15,10/11/2014,1813,Senior Benefits Analyst,790,COMMN,7070,2874,3493,,35.925,37.725,39.6125,41.5875,43.6625,,,,,,,,,,,,,,,
FY13-14,1/4/2014,7263,Maintenance Manager,351,SFMTA,7540,3618,4397,,45.225,47.4875,49.8625,52.35,54.9625,,,,,,,,,,,,,,,
FY14-15,7/1/2014,3518,"Assoc Musm Cnsrvt, AAM",790,SFMTA,6860,2596,3155,,32.45,34.075,35.775,37.5625,39.4375,,,,,,,,,,,,,,,
FY13-14,3/29/2014,1403,Elections Clerk,790,SFMTA,6145,1831,2226,,22.8875,24.0375,25.2375,26.5,27.825,,,,,,,,,,,,,,,
FY13-14,7/1/2013,7454,Traffic Signal Operator,790,SFMTA,5580,1394,1690,0,17.425,18.2875,19.1875,20.1375,21.125,,,,,,,,,,,,,,,
FY14-15,7/1/2014,2595,Sr Employee Asst Counselor,21,COMMN,2595C,2977,3618,6,37.2125,39.075,41.025,43.075,45.225,46.2875,47.4875,48.6,,,,,,,,,,,,
FY13-14,1/4/2014,3370,Animal Care Attendant,856,COMMN,3370A,1690,2156,0,21.125,22.1625,23.275,24.4375,25.6625,26.95,,,,,,,,,,,,,,
FY12-13,7/1/2012,1424,Clerk Typist,790,SFMTA,1424W,1670,2028,,20.875,21.9,23,24.15,25.35,27.825,30.675,,,,,,,,,,,,,
FY13-14,7/1/2013,5278,Planner 2,21,SFMTA,6925,2679,3256,,33.4875,35.1625,36.9125,38.7625,40.7,,,,,,,,,,,,,,,
FY14-15,10/11/2014,7540,Track Maintenance Worker,261,SFMTA,6375,2048,2490,,25.6,26.8875,28.225,29.6375,31.125,,,,,,,,,,,,,,,
FY13-14,7/1/2013,1773,Media Training Specialist,200,COMMN,7025,2813,3418,0,35.1625,36.9125,38.7625,40.7,42.725,,,,,,,,,,,,,,,
FY13-14,3/29/2014,7361,Plasterer,66,COMMN,7110,2933,3566,0,36.6625,38.5,40.425,42.45,44.575,,,,,,,,,,,,,,,
FY13-14,3/29/2014,3610,Library Assistant,790,SFMTA,6205,1886,2292,,23.575,24.75,25.9875,27.2875,28.65,,,,,,,,,,,,,,,
FY14-15,10/11/2014,2903,Hospital Eligibility Worker,535,SFMTA,6440,2115,2571,,26.4375,27.7625,29.15,30.6125,32.1375,,,,,,,,,,,,,,,
FY13-14,7/1/2013,5177,Safety Officer,21,SFMTA,5177Y (SFMTA),3921,4766,,49.0125,51.4625,54.0375,56.7375,59.575,61.025,62.5625,64.075,,,,,,,,,,,,
FY14-15,10/11/2014,2579,Med Examiner's InvestigatorIII,790,COMMN,7410,3396,4128,,42.45,44.575,46.8,49.1375,51.6,,,,,,,,,,,,,,,
FY13-14,7/1/2013,2328,Nurse Practitioner,791,COMMN,2328Y,4974,7042,0,62.175,65.325,68.55,72,75.6125,77.8875,80.3125,82.8,85.375,88.025,,,,,,,,,,
FY14-15,10/11/2014,2608,Supply Room Attendant,790,COMMN,5950,1666,2023,,20.825,21.85,22.9375,24.0875,25.2875,,,,,,,,,,,,,,,
FY14-15,10/11/2014,1804,Statistician,21,SFMTA,6815,2539,3087,,31.7375,33.325,35,36.75,38.5875,,,,,,,,,,,,,,,
FY13-14,3/29/2014,7308,Cable Splicer,6,SFMTA,7290,3199,3888,,39.9875,41.9875,44.0875,46.3,48.6,,,,,,,,,,,,,,,
FY13-14,1/4/2014,9706,Employment & Training Spec 5,535,SFMTA,7210,3080,3744,,38.5,40.425,42.45,44.575,46.8,,,,,,,,,,,,,,,
FY15-16,10/10/2015,2551,Mental Hlth Treatment Spec,21,SFMTA,7235,3117,3788,,38.9625,40.9125,42.95,45.1,47.35,,,,,,,,,,,,,,,
FY14-15,10/11/2014,2996,"Rep, Human Rights Comm",790,COMMN,7060,2862,3479,,35.775,37.5625,39.4375,41.4125,43.4875,,,,,,,,,,,,,,,
FY13-14,1/4/2014,8264,Forensic Document Examiner,21,SFMTA,7375,3337,4056,,41.7125,43.7875,45.9875,48.275,50.7,,,,,,,,,,,,,,,
FY13-14,1/4/2014,2912,Senior Social Worker,535,SFMTA,6700,2401,2918,,30.0125,31.5125,33.0875,34.7375,36.475,,,,,,,,,,,,,,,
FY14-15,7/1/2014,6246,Senior Plumbing Inspector,38,SFMTA,7640,3799,4617,,47.4875,49.8625,52.35,54.9625,57.7125,,,,,,,,,,,,,,,
FY15-16,7/1/2015,3422,Park Section Supervisor,261,SFMTA,6805,2527,3072,,31.5875,33.175,34.825,36.575,38.4,,,,,,,,,,,,,,,
FY14-15,7/1/2014,7322,Auto Body&Fender Wrk Asst Sprv,130,SFMTA-Negotiated,7322C,3629,3629,,45.3625,,,,,,,,,,,,,,,,,,,
FY14-15,10/11/2014,9116,Sr Fare Collections Receiver,790,SFMTA-Negotiated,6600,2287,2779,,28.5875,30.0125,31.5125,33.0875,34.7375,,,,,,,,,,,,,,,
FY13-14,1/4/2014,1466,Meter Reader,38,SFMTA,6290,1965,2388,,24.5625,25.7875,27.075,28.425,29.85,,,,,,,,,,,,,,,
FY13-14,3/29/2014,7285,Transmission Line Wrk Sprv 2,6,SFMTA,7795,4094,4976,,51.175,53.7375,56.425,59.2375,62.2,,,,,,,,,,,,,,,
FY12-13,7/1/2012,8251,Fingerprint Technician 3,790,SFMTA,6470,2145,2607,,26.8125,28.15,29.5625,31.0375,32.5875,,,,,,,,,,,,,,,
FY14-15,10/11/2014,1379,Special Assistant 20,351,SFMTA,8605,6083,7394,,76.0375,79.8375,83.8375,88.025,92.425,,,,,,,,,,,,,,,
FY15-16,7/1/2015,5408,Coord of Citizen Involvement,21,SFMTA,7490,3527,4286,,44.0875,46.3,48.6,51.025,53.575,,,,,,,,,,,,,,,
FY14-15,10/11/2014,7328,"Operating Engineer, Universal",3,SFMTA,7135,2969,3608,,37.1125,38.9625,40.9125,42.95,45.1,,,,,,,,,,,,,,,
FY15-16,10/10/2015,1706,Telephone Operator,790,SFMTA,6045,1744,2120,,21.8,22.8875,24.0375,25.2375,26.5,,,,,,,,,,,,,,,
FY14-15,10/11/2014,7424,Dryer Mixer Operator,3,SFMTA,6835,2564,3117,,32.05,33.6625,35.3375,37.1125,38.9625,,,,,,,,,,,,,,,
FY13-14,3/29/2014,9916,Public Svc Aide-Public Works,1,COMMN,9916B,1070,1253,0,13.375,13.775,14.1875,14.5625,15.6625,,,,,,,,,,,,,,,
FY13-14,7/1/2013,2716,Custodial Assistant Supervisor,790,SFMTA,6160,1844,2242,,23.05,24.2,25.4125,26.6875,28.025,,,,,,,,,,,,,,,
FY13-14,7/1/2013,9775,Sr Community Dev Spec 2,790,COMMN,7400,3378,4106,0,42.225,44.3375,46.55,48.875,51.325,,,,,,,,,,,,,,,
FY14-15,10/11/2014,7470,Watershed Keeper,790,COMMN,6530,2209,2685,,27.6125,28.9875,30.4375,31.9625,33.5625,,,,,,,,,,,,,,,
FY13-14,7/1/2013,7472,Wire Rope Cable Maint Mechanic,39,SFMTA,7472Y (SFMTA),3024,3024,0,37.8,,,,,,,,,,,,,,,,,,,
FY14-15,7/1/2014,2740,Porter Supervisor 1,790,SFMTA,6420,2094,2545,,26.175,27.4875,28.8625,30.3,31.8125,,,,,,,,,,,,,,,
FY13-14,3/29/2014,3480,Farmers Market Manager,790,SFMTA,6530,2209,2685,,27.6125,28.9875,30.4375,31.9625,33.5625,,,,,,,,,,,,,,,
FY14-15,7/1/2014,9184,"Deputy General Manager,DPT",351,SFMTA,9184C,5675,7259,,70.9375,74.625,78.3625,82.2625,86.3875,90.7375,,,,,,,,,,,,,,
FY12-13,7/1/2012,1950,Assistant Purchaser,21,SFMTA,6365,2038,2478,,25.475,26.75,28.0875,29.5,30.975,,,,,,,,,,,,,,,
FY13-14,1/4/2014,5149,Supt Water Treatment Fac,39,SFMTA,5149A (SFMTA),4973,4973,,62.1625,,,,,,,,,,,,,,,,,,,
FY12-13,7/1/2012,7542,Watershed Worker (Seasonal),790,SFMTA,7542W,1552,1552,,19.4,,,,,,,,,,,,,,,,,,,
FY12-13,7/1/2012,5380,"StdntDsgnTrain1, Arch/Eng/Plng",21,SFMTA,5380W,1892,1892,,23.65,,,,,,,,,,,,,,,,,,,
FY15-16,7/1/2015,8118,Legislative Clerk,22,SFMTA,6845,2577,3132,,32.2125,33.825,35.5125,37.2875,39.15,,,,,,,,,,,,,,,
FY14-15,10/11/2014,7255,Power House Electrician Sprv 1,6,SFMTA-Negotiated,7450,3460,4206,,43.25,45.4125,47.6875,50.075,52.575,,,,,,,,,,,,,,,
FY13-14,1/4/2014,3246,Pianist,1,COMMN,6375,2048,2490,0,25.6,26.8875,28.225,29.6375,31.125,,,,,,,,,,,,,,,
FY13-14,7/1/2013,2533,Emergency Med Svcs Agency Spec,790,COMMN,7380,3346,4067,0,41.825,43.9125,46.1125,48.4125,50.8375,,,,,,,,,,,,,,,
FY14-15,7/1/2014,8308,Sheriff's Sergeant,499,COMMN,8308C,3411,4355,,42.6375,44.8,47.025,49.3875,51.8375,54.4375,,,,,,,,,,,,,,
FY13-14,1/4/2014,2598,Asst Med Examiner,164,COMMN,2598A,7291,10262,0,91.1375,95.7,100.5,105.5,110.7875,116.3125,122.15,128.275,,,,,,,,,,,,
